ที่,คณิตศาสตร์ (X),เทอมที่ลงแคล1 (Y)
1296,2.56,1.78
1297,2.22,1.75
1298,2.72,1.69
1299,3,1.53
1300,1.44,1.29
1301,2.55,1.15
1302,2.02,1.13
1303,2.56,1.12
1304,3.22,1.03
1305,2.44,0.92
1306,2.35,0.62
1307,1.93,0.48
1308,3.08,2.74
1309,3.22,2.34
1310,3.35,2.29
1311,2.47,2.07
1312,3.35,1.92
1313,3.75,3.83
1314,3.9,3.74
1315,3.28,3.65
1316,3.79,3.45
1317,3.41,3.27
1318,3.26,2.89
1319,1.9,2.86
1320,4,2.83
1321,2.98,2.7
1322,2.64,2.69
1323,3.01,2.63
1324,2.82,2.47
1325,3.26,2.45
1326,3.6,2.4
1327,2.95,2.27
1328,2.06,2.2
1329,1.9,2
1330,1.9,1.86
1331,2.06,1.25
1332,2.16,1.21
1333,1.33,1
1334,3.2,3.15
1335,3.15,2.31
1336,3.61,1.89
1337,2.77,1.56
1338,2.27,1.5
1339,2.88,1.47
1340,2.27,1.36
1341,2.88,0.93
1342,3.5,2.89
1343,2.56,2.54
1344,3.56,2.53
1345,3.5,2.48
1346,3.85,2.43
1347,2.77,2.42
1348,2.66,2.4
1349,3.18,2.35
1350,3.81,2.25
1351,2.94,2.18
1352,3.56,2
1353,2.77,1.59
1354,2.56,1.58
1355,4,3.74
1356,4,3.37
1357,3.3,2.94
1358,3.6,2.85
1359,3.8,2.83
1360,2.94,2.47
1361,2.66,1.56
1362,2.66,1.38
1363,3.12,3.08
1364,3.1,2.73
1365,3.62,2.6
1366,3.8,2.55
1367,3.7,2.55
1368,3.12,2.53
1369,3.34,2.48
1370,3.75,1.84
1371,4,3.83
1372,4,3.67
1373,3.61,3.3
1374,3.96,2.56
1375,3.61,2.48
